rank,artist,track,total_words,unique_words,unique_ratio
274,M.I.A.,10 Dollar,601,64,0.1064891846921797
275,M.I.A.,Lovalot,475,105,0.22105263157894736
276,Pink Floyd,Learning to Fly,284,135,0.4753521126760563
277,Queens of the Stone Age,Fortress,267,56,0.20973782771535582
278,Queens of the Stone Age,In the Fade,198,47,0.23737373737373738
279,Radiohead,Everything in Its Right Place,119,13,0.1092436974789916
280,Rival Sons,Feral Roots,192,55,0.2864583333333333
281,Soundgarden,New Damage,180,16,0.08888888888888889
282,U2,Please,266,97,0.36466165413533835
283,Van Halen,Drop Dead Legs,135,47,0.34814814814814815
284,Wolfmother,White Unicorn,210,50,0.23809523809523808
285,Alice in Chains,Don't Follow,153,57,0.37254901960784315
286,"Beck, Bogert & Appice",Superstition,98,41,0.41836734693877553
287,Interpol,Untitled,30,6,0.2
288,Journey,Stone in Love,163,50,0.3067484662576687
289,Led Zeppelin,Ten Years Gone,235,77,0.3276595744680851
290,Public Enemy,Fight the Power,654,149,0.22782874617737003
291,Queens of the Stone Age,Hideaway,206,79,0.38349514563106796
292,Rage Against the Machine,Down on the Street,162,21,0.12962962962962962
293,Rival Sons,Pressure and Time,164,51,0.31097560975609756
294,Sonic Youth,Rats,241,85,0.35269709543568467
295,The Romantics,Talking in Your Sleep,341,41,0.12023460410557185
296,The Sundays,Wild Horses,134,43,0.3208955223880597
300,De La Soul,Me Myself and I,624,101,0.16185897435897437
301,Death from Above 1979,Losing Friends,253,34,0.13438735177865613
302,Frankie Goes to Hollywood,Relax,295,43,0.14576271186440679
303,INXS,The One Thing,127,41,0.3228346456692913
304,Kool Keith,Poppa Large,622,256,0.4115755627009646
305,Loretta Lynn,Portland Oregon,191,50,0.2617801047120419
306,Mountain,Mississippi Queen,158,36,0.22784810126582278
309,Patrick Sweany,Them Shoes,191,54,0.28272251308900526
310,Queens of the Stone Age,First It Giveth,158,35,0.22151898734177214
312,Queens of the Stone Age,The Evil Has Landed,239,72,0.301255230125523
313,Radiohead,Airbag,93,26,0.27956989247311825
315,Soundgarden,Loud Love,114,36,0.3157894736842105
316,Stone Temple Pilots,Interstate Love Song,110,32,0.2909090909090909
317,The Black Angels,The Sniper at the Gates of Heaven,116,38,0.3275862068965517
318,The Black Keys,Crawling Kingsnake,174,31,0.1781609195402299
319,The Cult,Coming Down (Drug Tongue),312,63,0.20192307692307693
320,The Cult,Painted On My Heart,324,54,0.16666666666666666
321,The Dead Weather,Blue Blood Blues,265,59,0.22264150943396227
322,The Police,Synchronicity II,254,103,0.40551181102362205
323,The Power Station,Get It On (Bang A Gong),310,37,0.11935483870967742
324,The Rolling Stones,Undercover (of the night),290,81,0.2793103448275862
326,Beck,Dreams,370,53,0.14324324324324325
329,Death from Above 1979,Little Girl,155,15,0.0967741935483871
330,Janet Jackson,Got 'Til It's Gone,571,81,0.14185639229422067
331,Johnny Cash,Personal Jesus,152,36,0.23684210526315788
332,Madonna,Jump,341,48,0.14076246334310852
333,Rival Sons,Belle Starr,117,40,0.3418803418803419
335,The Black Angels,Young Men Dead,196,69,0.3520408163265306
336,The Power Station,Some Like It Hot,304,32,0.10526315789473684
339,A Flock of Seagulls,I Ran (So Far Away),184,43,0.23369565217391305
340,A Perfect Circle,The Hollow,99,41,0.41414141414141414
341,Bob Marley & The Wailers,Could You Be Loved,325,52,0.16
342,Depeche Mode,Precious,157,46,0.2929936305732484
343,Desmond Dekker,007 (Shanty Town),165,28,0.1696969696969697
345,Gary Clark Jr.,Numb,61,22,0.36065573770491804
346,Jimi Hendrix,Voodoo Child (Slight Return),180,41,0.22777777777777777
347,Joseph,Nervous System,334,68,0.20359281437125748
349,Mad Season,River of Deceit,148,32,0.21621621621621623
351,Skee-Lo,I Wish,939,190,0.20234291799787008
352,Spinnerette,Ghetto Love,258,62,0.24031007751937986
353,The Cult,Fire Woman,262,56,0.21374045801526717
354,The Cult,Sun King,321,78,0.24299065420560748
355,The Rolling Stones,Gimme Shelter,227,40,0.1762114537444934
356,U2,Acrobat,294,81,0.2755102040816326
357,UNKLE,Keys To The Kingdom (Featuring Gavin Clark),193,42,0.21761658031088082
358,Urban Dance Squad,Deeper Shade Of Soul,322,102,0.3167701863354037
359,Aerosmith,Back in the Saddle,205,67,0.32682926829268294
361,C.W. Stoneking,Mama Got The Blues,139,37,0.26618705035971224
362,Coldplay,God Put a Smile Upon Your Face,255,32,0.12549019607843137
363,Death from Above 1979,Modern Guy,117,41,0.3504273504273504
364,Depeche Mode,Personal Jesus,180,35,0.19444444444444445
365,Eagles of Death Metal,Save a Prayer,282,68,0.24113475177304963
367,Jamiroquai,Canned Heat,654,111,0.16972477064220184
368,Khruangbin,Mr. White,58,2,0.034482758620689655
369,LCD Soundsystem,Time to Get Away,300,52,0.17333333333333334
370,Mr. Oizo,Flat Beat,14,6,0.42857142857142855
371,No Doubt,Too Late,261,76,0.29118773946360155
372,Pat Benatar,Shadows of the Night,311,58,0.1864951768488746
375,Rival Sons,Open My Eyes,193,43,0.22279792746113988
378,Soundgarden,Hands All Over,222,59,0.26576576576576577
379,Soundgarden,Let Me Drown,293,61,0.20819112627986347
380,The Avalanches,Close to You,320,19,0.059375
381,The Cult,Naturally High,169,46,0.27218934911242604
382,The Tubes,She's a Beauty,272,44,0.16176470588235295
384,U2,Where the Streets Have No Name,234,49,0.2094017094017094
386,Air,La femme d'argent,176,55,0.3125
387,Alice in Chains,I Know Somethin (Bout You),334,43,0.12874251497005987
388,Eagles of Death Metal,Family Affair,473,97,0.20507399577167018
390,Interpol,NARC,257,67,0.2607003891050584
