rank,artist,track,total_words,unique_words,unique_ratio
731,Imagine Dragons,On Top of the World,476,58,0.12184873949579832
732,Jack White,Battle Cry,17,0,0.0
733,Jane's Addiction,Been Caught Stealing,236,39,0.1652542372881356
735,Jimi Hendrix,Who Knows - Live,233,52,0.22317596566523606
736,John Mellencamp,Pink Houses,328,79,0.24085365853658536
737,Joseph,White Flag,273,49,0.1794871794871795
738,Justin Timberlake,Rock Your Body,618,91,0.14724919093851133
739,Led Zeppelin,D'yer Mak'er,308,30,0.09740259740259741
740,Led Zeppelin,The Rain Song,202,55,0.2722772277227723
741,Luke Winslow-King,I'm Glad Trouble Don't Last Always,120,31,0.25833333333333336
743,Mark Ronson,Bang Bang Bang,577,145,0.2512998266897747
744,Massive Attack,I Against I,467,108,0.23126338329764454
745,Men at Work,Overkill,178,44,0.24719101123595505
748,Nine Inch Nails,Less Than,248,56,0.22580645161290322
749,Olivier Libaux,The Blood Is Love,151,61,0.40397350993377484
751,Primus,Tommy the Cat,477,103,0.21593291404612158
752,Queen,We Will Rock You,157,37,0.2356687898089172
753,Queens of the Stone Age,How to Handle a Rope,171,47,0.27485380116959063
754,Queens of the Stone Age,I'm Designer,307,94,0.30618892508143325
756,Queens of the Stone Age,Turnin' on the Screw,211,59,0.2796208530805687
757,Radiohead,Little by Little,164,40,0.24390243902439024
758,Rage Against the Machine,The Ghost of Tom Joad,318,109,0.34276729559748426
760,Red Hot Chili Peppers,Breaking the Girl,185,42,0.22702702702702704
761,Rival Sons,Face of Light,199,55,0.27638190954773867
762,Rival Sons,Stood By Me,197,36,0.18274111675126903
765,Royal Blood,I Only Lie When I Love You,283,43,0.1519434628975265
766,Satin Jackets,Control,165,28,0.1696969696969697
767,Satin Jackets,Northern Lights,257,46,0.17898832684824903
768,Secret Machines,First Wave Intact,127,44,0.3464566929133858
769,Soundgarden,Hunted Down,126,29,0.23015873015873015
770,Soundgarden,Superunknown,225,37,0.16444444444444445
771,Stevie Wonder,Superstition - Single Version,152,46,0.3026315789473684
772,Stone Temple Pilots,Piece of Pie,240,39,0.1625
773,The Black Angels,18 Years,115,48,0.41739130434782606
774,The Black Keys,Same Old Thing,103,26,0.2524271844660194
775,The Black Keys,Stay All Night,138,15,0.10869565217391304
776,The Black Keys,Things Ain't Like They Used To Be,191,38,0.19895287958115182
777,The Cinematic Orchestra,Channel 1 Suite,218,5,0.022935779816513763
778,The Cult,Rain,148,20,0.13513513513513514
779,The Cult,Star,280,37,0.13214285714285715
782,The Doobie Brothers,What a Fool Believes,266,59,0.22180451127819548
